rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
211,frame_0228.jpg,91.2,0.3437,0.5714,0.1667,0.04,8,1,False,False
212,frame_0274.jpg,109.6,0.3436,0.5231,0.1667,0.16,9,1,False,False
213,frame_0282.jpg,112.8,0.3358,0.3795,0.1667,0.48,7,1,False,False
214,frame_0390.jpg,156.0,0.3353,0.4386,0.3333,0.08,10,2,False,False
215,frame_0215.jpg,86.0,0.3345,0.4769,0.0,0.48,4,0,False,False
216,frame_0314.jpg,125.6,0.3345,0.3369,0.5,0.08,7,3,False,False
217,frame_0179.jpg,71.6,0.3317,0.5154,0.1667,0.12,7,1,False,False
218,frame_0175.jpg,70.0,0.3302,0.4484,0.1667,0.28,7,1,False,False
219,frame_0269.jpg,107.6,0.3281,0.4402,0.3333,0.04,6,2,False,False
220,frame_0104.jpg,41.6,0.3245,0.401,0.3333,0.12,6,2,False,False
221,frame_0199.jpg,79.6,0.3241,0.4562,0.0,0.48,2,0,False,False
222,frame_0219.jpg,87.6,0.322,0.3161,0.3333,0.32,5,2,False,False
223,frame_0092.jpg,36.8,0.3201,0.3283,0.3333,0.28,7,2,False,False
224,frame_0195.jpg,78.0,0.3198,0.4115,0.1667,0.32,4,1,False,False
225,frame_0322.jpg,128.8,0.3198,0.5756,0.0,0.16,7,0,False,False
226,frame_0267.jpg,106.8,0.3196,0.4911,0.1667,0.12,7,1,False,False
227,frame_0082.jpg,32.8,0.3159,0.2597,0.1667,0.68,5,1,False,False
228,frame_0272.jpg,108.8,0.3121,0.3922,0.3333,0.08,8,2,False,False
229,frame_0275.jpg,110.0,0.3103,0.4406,0.1667,0.2,9,1,False,False
230,frame_0218.jpg,87.2,0.3094,0.3748,0.1667,0.36,4,1,False,False
231,frame_0285.jpg,114.0,0.3077,0.3754,0.0,0.6,6,0,False,False
232,frame_0190.jpg,76.0,0.3068,0.3657,0.3333,0.12,5,2,False,False
233,frame_0025.jpg,10.0,0.3055,0.211,0.0,1.0,6,0,False,False
234,frame_0197.jpg,78.8,0.2976,0.3351,0.1667,0.4,3,1,False,False
235,frame_0093.jpg,37.2,0.296,0.3959,0.1667,0.24,7,1,False,False
236,frame_0371.jpg,148.4,0.2935,0.455,0.1667,0.08,9,1,False,False
237,frame_0087.jpg,34.8,0.2841,0.2762,0.1667,0.48,6,1,False,False
238,frame_0204.jpg,81.6,0.2823,0.2927,0.0,0.68,2,0,False,False
239,frame_0101.jpg,40.4,0.2797,0.4274,0.1667,0.08,8,1,False,False
240,frame_0122.jpg,48.8,0.2778,0.3157,0.0,0.6,7,0,False,False
241,frame_0183.jpg,73.2,0.2764,0.4368,0.1667,0.04,6,1,False,False
242,frame_0224.jpg,89.6,0.2724,0.3968,0.1667,0.12,6,1,False,False
243,frame_0393.jpg,157.2,0.261,0.406,0.1667,0.04,8,1,False,False
244,frame_0189.jpg,75.6,0.2544,0.3768,0.1667,0.08,7,1,False,False
245,frame_0111.jpg,44.4,0.2515,0.4391,0.0,0.16,4,0,False,False
246,frame_0376.jpg,150.4,0.2497,0.4353,0.0,0.16,10,0,False,False
